event_id,flight_id,event_type,severity,event_time
E0000001,F000906,BATTERY_DROP,MEDIUM,2025-10-16 18:17:25.218436
E0000002,F000260,MOTOR_TEMP_HIGH,LOW,2025-10-15 22:39:44.125292
E0000003,F001354,GPS_GLITCH,LOW,2025-10-13 01:21:07.210848
E0000004,F000389,COMMS_LOSS,LOW,2025-09-26 15:03:56.035688
E0000005,F001483,HARD_LANDING,LOW,2025-10-23 15:02:47.497266
E0000006,F001134,GPS_GLITCH,LOW,2025-09-01 18:01:09.449061
E0000007,F000254,GPS_GLITCH,HIGH,2025-09-26 05:56:55.657582
E0000008,F000701,BATTERY_DROP,LOW,2025-09-01 11:50:25.257584
E0000009,F001638,GPS_GLITCH,LOW,2025-09-03 03:11:45.445778
E0000010,F000866,WIND_ALERT,MEDIUM,2025-09-25 04:42:12.527659
E0000011,F001377,MOTOR_TEMP_HIGH,MEDIUM,2025-11-04 01:07:13.758653
E0000012,F001497,MOTOR_TEMP_HIGH,MEDIUM,2025-09-05 13:24:14.561629
E0000013,F000062,WIND_ALERT,LOW,2025-11-08 18:54:37.454647
E0000014,F001863,HARD_LANDING,MEDIUM,2025-09-14 17:12:48.412932
E0000015,F000672,HARD_LANDING,LOW,2025-09-04 21:41:22.606934
E0000016,F001587,BATTERY_DROP,MEDIUM,2025-11-21 08:54:24.056917
E0000017,F000934,BATTERY_DROP,LOW,2025-10-08 14:26:44.184253
E0000018,F001154,BATTERY_DROP,MEDIUM,2025-10-18 18:07:55.565541
E0000019,F000722,BATTERY_DROP,MEDIUM,2025-11-13 18:56:31.195222
E0000020,F001707,BATTERY_DROP,MEDIUM,2025-09-23 19:06:47.001345
E0000021,F000235,GPS_GLITCH,LOW,2025-09-24 14:57:07.310991
E0000022,F001793,BATTERY_DROP,MEDIUM,2025-10-20 21:47:55.097970
E0000023,F000415,BATTERY_DROP,MEDIUM,2025-11-16 14:36:44.451835
E0000024,F001767,BATTERY_DROP,LOW,2025-11-19 22:14:01.257869
E0000025,F000050,GPS_GLITCH,LOW,2025-11-26 09:16:35.939078
E0000026,F000028,BATTERY_DROP,LOW,2025-11-09 10:44:40.476757
E0000027,F000187,MOTOR_TEMP_HIGH,LOW,2025-10-04 09:30:16.642471
E0000028,F001096,COMMS_LOSS,MEDIUM,2025-10-16 17:48:01.973545
E0000029,F000533,COMMS_LOSS,LOW,2025-09-08 14:31:38.219127
E0000030,F001196,GPS_GLITCH,MEDIUM,2025-10-19 01:57:18.140392
E0000031,F001640,GPS_GLITCH,MEDIUM,2025-11-05 10:59:34.468649
E0000032,F000055,BATTERY_DROP,MEDIUM,2025-11-26 13:43:23.690876
E0000033,F001054,GPS_GLITCH,MEDIUM,2025-11-12 06:20:16.122252
E0000034,F001479,BATTERY_DROP,MEDIUM,2025-09-02 11:48:13.007394
E0000035,F000849,WIND_ALERT,LOW,2025-10-09 20:21:02.486899
E0000036,F001851,GPS_GLITCH,LOW,2025-09-01 05:05:43.298826
E0000037,F001325,BATTERY_DROP,HIGH,2025-09-06 10:53:15.774562
E0000038,F000070,COMMS_LOSS,CRITICAL,2025-11-06 07:54:07.183103
E0000039,F001084,MOTOR_TEMP_HIGH,LOW,2025-09-14 20:53:08.408870
E0000040,F000768,GPS_GLITCH,HIGH,2025-10-04 21:10:17.190301
E0000041,F000264,GPS_GLITCH,CRITICAL,2025-11-24 02:27:55.020898
E0000042,F001901,WIND_ALERT,LOW,2025-11-29 06:24:58.277411
E0000043,F000446,GPS_GLITCH,MEDIUM,2025-11-12 01:31:10.060674
E0000044,F000167,MOTOR_TEMP_HIGH,MEDIUM,2025-10-31 12:02:44.092716
E0000045,F000446,COMMS_LOSS,LOW,2025-11-12 01:38:56.603823
E0000046,F001647,BATTERY_DROP,LOW,2025-11-19 07:02:06.396337
E0000047,F001200,COMMS_LOSS,LOW,2025-09-17 19:30:34.817074
E0000048,F001640,GPS_GLITCH,MEDIUM,2025-11-05 11:12:46.573338
E0000049,F000924,BATTERY_DROP,LOW,2025-10-01 00:44:37.836735
E0000050,F000234,BATTERY_DROP,MEDIUM,2025-10-05 05:12:43.089036
E0000051,F000776,WIND_ALERT,MEDIUM,2025-11-18 13:15:52.774029
E0000052,F000400,GPS_GLITCH,MEDIUM,2025-11-14 18:57:21.581329
E0000053,F001114,GPS_GLITCH,LOW,2025-10-19 15:31:08.052079
E0000054,F000539,WIND_ALERT,LOW,2025-11-26 07:30:47.193143
E0000055,F001941,GPS_GLITCH,LOW,2025-10-30 00:02:38.908959
